"date","min_temp","max_temp","total_rainfall","conditions","icon"
"2024-09-29",23.0,27.0,13.134,"Rain, Overcast","rain"
"2024-09-30",22.3,30.0,0.3,"Rain, Partially cloudy","rain"
"2024-10-01",21.1,32.0,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-02",19.1,31.1,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-03",22.1,25.1,21.138,"Rain, Overcast","rain"
"2024-10-04",21.1,27.0,13.676,"Rain, Partially cloudy","rain"
"2024-10-05",19.1,28.0,0.054,"Rain, Partially cloudy","rain"
"2024-10-06",20.1,29.0,6.243,"Rain, Partially cloudy","rain"
"2024-10-07",21.1,28.1,14.323,"Rain, Partially cloudy","rain"
"2024-10-08",18.1,24.1,1.608,"Rain, Partially cloudy","rain"
"2024-10-09",17.0,25.0,32.702,"Rain, Partially cloudy","rain"
"2024-10-10",15.1,26.0,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-11",14.1,26.0,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-12",15.1,28.0,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-13",15.1,28.0,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-14",15.1,27.0,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-15",17.1,24.1,0.379,"Rain, Partially cloudy","rain"
"2024-10-16",20.0,26.1,0.662,"Rain, Partially cloudy","rain"
"2024-10-17",18.1,30.0,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-18",21.2,27.1,0.014,"Rain, Partially cloudy","rain"
"2024-10-19",20.1,25.0,17.946,"Rain, Partially cloudy","rain"
"2024-10-20",14.3,23.1,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-21",11.4,24.0,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-22",13.1,24.9,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-23",19.0,26.1,10.921,"Rain, Overcast","rain"
"2024-10-24",17.1,24.0,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-25",16.2,26.0,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-26",18.1,23.9,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-27",16.2,24.1,0.162,"Rain, Partially cloudy","rain"
"2024-10-28",17.1,23.1,28.874,"Rain, Overcast","rain"
"2024-10-29",16.0,18.1,10.6,"Rain, Overcast","rain"
"2024-10-30",14.1,23.9,8.582,"Rain, Partially cloudy","rain"
"2024-10-31",11.2,22.0,0.0,"Partially cloudy","partly-cloudy-day"
"2024-11-01",17.1,21.1,4.982,"Rain, Overcast","rain"
"2024-11-02",17.1,20.1,57.23,"Rain, Partially cloudy","rain"
"2024-11-03",14.2,23.9,0.0,"Partially cloudy","partly-cloudy-day"
"2024-11-04",13.2,24.0,0.0,"Partially cloudy","partly-cloudy-day"
"2024-11-05",14.1,22.0,0.0,"Partially cloudy","partly-cloudy-day"
"2024-11-06",14.0,22.9,0.0,"Partially cloudy","partly-cloudy-day"
"2024-11-07",10.1,16.9,0.029,"Rain, Partially cloudy","rain"
"2024-11-08",6.2,18.0,0.0,"Partially cloudy","partly-cloudy-day"
"2024-11-09",6.2,20.0,0.0,"Partially cloudy","partly-cloudy-day"
"2024-11-10",8.2,20.0,0.0,"Partially cloudy","partly-cloudy-day"
"2024-11-11",14.2,25.9,0.0,"Partially cloudy","partly-cloudy-day"
"2024-11-12",14.9,24.0,0.0,"Partially cloudy","partly-cloudy-day"
"2024-11-13",12.2,22.0,0.0,"Partially cloudy","partly-cloudy-day"
"2024-11-14",12.1,16.1,0.0,"Partially cloudy","partly-cloudy-day"
"2024-11-15",14.1,20.0,6.605,"Rain, Partially cloudy","rain"
"2024-11-16",14.2,19.0,0.0,"Partially cloudy","partly-cloudy-day"
"2024-11-17",14.2,23.0,0.029,"Rain, Partially cloudy","rain"
"2024-11-18",12.0,18.0,0.0,"Partially cloudy","wind"
"2024-11-19",9.0,14.0,0.0,"Partially cloudy","wind"
"2024-11-20",11.0,15.0,0.3,"Rain, Partially cloudy","rain"
"2024-11-21",12.0,17.0,0.0,"Partially cloudy","partly-cloudy-day"
"2024-11-22",7.1,16.1,0.6,"Rain, Partially cloudy","rain"
"2024-11-23",8.0,14.1,0.2,"Rain, Partially cloudy","rain"
"2024-11-24",5.1,17.0,0.0,"Partially cloudy","partly-cloudy-day"
"2024-11-25",4.1,17.0,0.0,"Partially cloudy","partly-cloudy-day"
"2024-11-26",7.1,15.0,32.595,"Rain, Partially cloudy","rain"
"2024-11-27",11.1,17.0,12.702,"Rain, Partially cloudy","rain"
"2024-11-28",6.4,14.0,0.0,"Partially cloudy","partly-cloudy-day"
"2024-11-29",3.4,10.1,0.007,"Rain, Partially cloudy","rain"
"2024-11-30",3.3,10.1,0.456,"Rain, Partially cloudy","rain"
"2024-12-01",5.2,14.0,0.3,"Rain, Partially cloudy","rain"
"2024-12-02",5.2,17.0,0.0,"Partially cloudy","partly-cloudy-day"
"2024-12-03",4.5,18.0,0.0,"Partially cloudy","partly-cloudy-day"
"2024-12-04",7.2,14.5,0.015,"Rain, Partially cloudy","rain"
"2024-12-05",5.2,13.1,0.0,"Partially cloudy","partly-cloudy-day"
"2024-12-06",4.3,10.1,0.0,"Partially cloudy","partly-cloudy-day"
"2024-12-07",4.3,9.1,0.456,"Rain, Partially cloudy","rain"
"2024-12-08",3.1,9.0,5.503,"Snow, Rain, Partially cloudy","rain"
"2024-12-09",0.2,11.1,0.007,"Rain, Partially cloudy","rain"
"2024-12-10",0.2,13.0,0.007,"Rain, Partially cloudy","rain"
"2024-12-11",2.4,10.1,0.0,"Partially cloudy","partly-cloudy-day"
"2024-12-12",1.2,11.0,0.0,"Partially cloudy","partly-cloudy-day"
"2024-12-13",2.2,9.9,0.0,"Partially cloudy","partly-cloudy-day"
"2024-12-14",3.2,10.9,0.088,"Snow, Rain, Partially cloudy","rain"
"2024-12-15",2.1,9.8,0.0,"Partially cloudy","partly-cloudy-day"
"2024-12-16",3.3,9.2,0.0,"Partially cloudy","partly-cloudy-day"
"2024-12-17",0.4,10.9,0.0,"Partially cloudy","partly-cloudy-day"
"2024-12-18",1.5,10.0,0.0,"Partially cloudy","partly-cloudy-day"
"2024-12-19",1.4,10.0,0.015,"Rain, Partially cloudy","rain"
"2024-12-20",-1.7,9.0,0.0,"Partially cloudy","partly-cloudy-day"
"2024-12-21",-0.7,8.1,0.066,"Rain, Partially cloudy","rain"
"2024-12-22",1.4,8.9,0.499,"Snow, Rain, Partially cloudy","rain"
"2024-12-23",-3.3,8.0,0.102,"Snow, Rain, Partially cloudy","rain"
"2024-12-24",-1.4,10.0,0.176,"Rain, Partially cloudy","rain"
"2024-12-25",-1.6,9.1,0.0,"Partially cloudy","partly-cloudy-day"
"2024-12-26",4.1,11.0,0.456,"Rain, Overcast","rain"
"2024-12-27",1.4,6.2,2.745,"Snow, Rain, Partially cloudy","snow"
