"date","min_temp","max_temp","total_rainfall","conditions","icon"
"2024-09-29",24.7,28.9,18.666,"Rain, Partially cloudy","rain"
"2024-09-30",25.2,31.0,1.219,"Rain, Partially cloudy","rain"
"2024-10-01",27.0,31.6,0.626,"Rain, Partially cloudy","rain"
"2024-10-02",26.5,31.7,1.467,"Rain, Partially cloudy","rain"
"2024-10-03",25.0,31.1,30.568,"Rain, Partially cloudy","rain"
"2024-10-04",25.1,29.0,41.91,"Rain, Partially cloudy","rain"
"2024-10-05",25.2,31.1,15.513,"Rain, Partially cloudy","rain"
"2024-10-06",24.9,31.0,0.688,"Rain, Partially cloudy","rain"
"2024-10-07",25.1,30.9,3.27,"Rain, Partially cloudy","rain"
"2024-10-08",23.1,29.0,0.927,"Rain, Partially cloudy","rain"
"2024-10-09",22.5,29.1,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-10",22.0,28.5,0.031,"Rain, Partially cloudy","rain"
"2024-10-11",19.2,28.9,0.0,"Clear","clear-day"
"2024-10-12",22.0,30.0,0.0,"Clear","clear-day"
"2024-10-13",22.3,29.9,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-14",22.1,30.1,0.0,"Clear","clear-day"
"2024-10-15",24.0,30.0,11.358,"Rain, Partially cloudy","rain"
"2024-10-16",24.5,31.0,8.151,"Rain, Partially cloudy","rain"
"2024-10-17",24.4,30.2,1.325,"Rain, Partially cloudy","rain"
"2024-10-18",26.8,31.6,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-19",24.3,31.0,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-20",25.0,30.2,0.594,"Rain, Partially cloudy","rain"
"2024-10-21",24.8,30.9,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-22",26.0,30.7,0.624,"Rain, Partially cloudy","rain"
"2024-10-23",24.3,30.1,8.436,"Rain, Partially cloudy","rain"
"2024-10-24",24.7,26.1,169.784,"Rain, Partially cloudy","rain"
"2024-10-25",24.7,28.8,7.4,"Rain, Partially cloudy","rain"
"2024-10-26",26.8,30.5,0.172,"Rain, Partially cloudy","rain"
"2024-10-27",24.1,30.3,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-28",23.2,30.8,0.559,"Rain, Partially cloudy","rain"
"2024-10-29",24.9,26.0,13.775,"Rain, Partially cloudy","rain"
"2024-10-30",25.2,30.6,6.46,"Rain, Partially cloudy","rain"
"2024-10-31",28.0,30.8,0.434,"Rain, Partially cloudy","rain"
"2024-11-01",27.9,33.2,15.173,"Rain, Partially cloudy","rain"
"2024-11-02",26.0,31.9,1.866,"Rain, Partially cloudy","rain"
"2024-11-03",24.1,28.0,0.0,"Partially cloudy","partly-cloudy-day"
"2024-11-04",24.0,28.1,0.0,"Partially cloudy","partly-cloudy-day"
"2024-11-05",23.0,27.0,0.0,"Partially cloudy","partly-cloudy-day"
"2024-11-06",21.1,24.7,0.0,"Partially cloudy","partly-cloudy-day"
"2024-11-07",21.1,23.1,1.489,"Rain, Partially cloudy","rain"
"2024-11-08",23.1,26.0,21.623,"Rain, Overcast","rain"
"2024-11-09",23.1,26.0,42.818,"Rain, Partially cloudy","rain"
"2024-11-10",25.0,29.0,6.622,"Rain, Partially cloudy","rain"
"2024-11-11",24.1,28.0,0.0,"Partially cloudy","partly-cloudy-day"
"2024-11-12",23.1,26.0,0.442,"Rain, Partially cloudy","rain"
"2024-11-13",23.1,26.2,0.0,"Overcast","cloudy"
"2024-11-14",24.1,28.1,0.0,"Partially cloudy","partly-cloudy-day"
"2024-11-15",24.0,28.0,13.852,"Rain, Partially cloudy","rain"
"2024-11-16",23.0,28.8,84.327,"Rain, Partially cloudy","rain"
"2024-11-17",24.0,28.7,26.297,"Rain, Partially cloudy","rain"
"2024-11-18",21.2,31.6,2.494,"Rain, Partially cloudy","rain"
"2024-11-19",21.0,24.0,0.9,"Rain, Partially cloudy","rain"
"2024-11-20",21.0,25.0,0.8,"Rain, Partially cloudy","rain"
"2024-11-21",21.0,25.0,4.3,"Rain, Partially cloudy","rain"
"2024-11-22",19.0,22.9,13.975,"Rain, Partially cloudy","rain"
"2024-11-23",17.0,24.1,0.0,"Partially cloudy","partly-cloudy-day"
"2024-11-24",16.2,24.9,0.0,"Partially cloudy","partly-cloudy-day"
"2024-11-25",15.3,25.6,0.108,"Rain, Partially cloudy","rain"
"2024-11-26",19.9,27.1,4.189,"Rain, Partially cloudy","rain"
"2024-11-27",18.2,21.8,0.0,"Partially cloudy","partly-cloudy-day"
"2024-11-28",17.8,20.7,0.0,"Partially cloudy","partly-cloudy-day"
"2024-11-29",17.1,19.8,0.0,"Partially cloudy","partly-cloudy-day"
"2024-11-30",16.1,20.8,0.0,"Partially cloudy","partly-cloudy-day"
"2024-12-01",12.1,23.0,0.0,"Clear","clear-day"
"2024-12-02",12.2,24.1,0.0,"Clear","clear-day"
"2024-12-03",16.5,24.8,0.0,"Partially cloudy","partly-cloudy-day"
"2024-12-04",16.4,23.6,0.0,"Partially cloudy","partly-cloudy-day"
"2024-12-05",16.4,21.7,0.0,"Partially cloudy","partly-cloudy-day"
"2024-12-06",16.1,23.6,0.021,"Rain, Partially cloudy","rain"
"2024-12-07",18.2,19.8,8.282,"Rain, Overcast","rain"
