"date","min_temp","max_temp","total_rainfall","conditions","icon"
"2024-09-29",24.1,27.0,0.4,"Rain, Partially cloudy","rain"
"2024-09-30",23.0,29.7,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-01",21.2,29.9,0.1,"Rain, Partially cloudy","rain"
"2024-10-02",22.2,31.4,0.1,"Rain, Partially cloudy","rain"
"2024-10-03",21.1,23.6,24.0,"Rain, Partially cloudy","rain"
"2024-10-04",21.1,24.0,6.0,"Rain, Overcast","rain"
"2024-10-05",20.2,27.7,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-06",18.2,30.1,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-07",20.1,29.7,11.0,"Rain, Overcast","rain"
"2024-10-08",17.1,24.7,8.0,"Rain, Partially cloudy","rain"
"2024-10-09",17.3,25.7,6.0,"Rain, Partially cloudy","rain"
"2024-10-10",18.2,26.2,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-11",16.2,25.9,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-12",15.3,27.2,0.0,"Clear","clear-day"
"2024-10-13",17.1,28.0,0.0,"Clear","clear-day"
"2024-10-14",17.2,28.7,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-15",20.9,26.9,0.1,"Rain, Partially cloudy","rain"
"2024-10-16",21.2,26.9,0.5,"Rain, Partially cloudy","rain"
"2024-10-17",19.2,28.5,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-18",22.9,27.8,0.035,"Rain, Partially cloudy","rain"
"2024-10-19",19.6,26.8,11.771,"Rain, Overcast","rain"
"2024-10-20",15.9,21.1,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-21",16.1,25.3,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-22",18.5,24.8,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-23",20.4,28.5,0.197,"Rain, Partially cloudy","rain"
"2024-10-24",19.3,23.6,0.0,"Overcast","cloudy"
"2024-10-25",18.8,25.1,0.005,"Rain, Partially cloudy","rain"
"2024-10-26",18.8,22.5,0.003,"Rain, Partially cloudy","rain"
"2024-10-27",17.1,26.1,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-28",17.1,21.5,25.293,"Rain, Overcast","rain"
"2024-10-29",16.7,18.6,4.12,"Rain, Overcast","rain"
"2024-10-30",16.1,22.3,9.168,"Rain, Partially cloudy","rain"
"2024-10-31",13.8,21.4,0.0,"Overcast","cloudy"
"2024-11-01",18.1,22.7,18.957,"Rain, Overcast","rain"
"2024-11-02",18.4,20.6,59.149,"Rain, Partially cloudy","rain"
"2024-11-03",15.4,22.6,0.0,"Clear","clear-day"
"2024-11-04",13.1,23.8,0.0,"Clear","clear-day"
"2024-11-05",14.7,21.8,0.0,"Partially cloudy","partly-cloudy-day"
"2024-11-06",14.8,19.3,0.0,"Partially cloudy","partly-cloudy-day"
"2024-11-07",11.3,15.8,0.0,"Partially cloudy","partly-cloudy-day"
"2024-11-08",10.0,17.5,0.0,"Partially cloudy","partly-cloudy-day"
"2024-11-09",9.5,20.8,0.0,"Partially cloudy","partly-cloudy-day"
"2024-11-10",12.2,23.7,0.0,"Overcast","cloudy"
"2024-11-11",16.0,22.5,0.014,"Rain, Partially cloudy","rain"
