"date","min_temp","max_temp","total_rainfall","conditions","icon"
"2024-09-29",11.0,22.3,0.0,"Partially cloudy","partly-cloudy-day"
"2024-09-30",13.0,21.9,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-01",12.7,24.9,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-02",14.0,21.1,1.4,"Rain, Partially cloudy","rain"
"2024-10-03",10.0,16.6,0.5,"Rain, Partially cloudy","rain"
"2024-10-04",12.0,14.9,37.0,"Rain, Overcast","rain"
"2024-10-05",9.0,20.8,11.0,"Rain, Partially cloudy","rain"
"2024-10-06",8.7,21.8,0.6,"Rain, Partially cloudy","rain"
"2024-10-07",13.7,17.9,2.0,"Rain, Partially cloudy","rain"
"2024-10-08",8.7,18.2,12.0,"Rain, Partially cloudy","rain"
"2024-10-09",6.1,16.8,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-10",5.4,18.0,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-11",5.4,17.3,0.1,"Rain, Partially cloudy","rain"
"2024-10-12",5.4,20.0,0.3,"Rain, Partially cloudy","rain"
"2024-10-13",5.4,17.1,0.4,"Rain, Partially cloudy","rain"
"2024-10-14",1.4,19.6,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-15",14.7,20.7,4.9,"Rain, Partially cloudy","rain"
"2024-10-16",6.0,18.1,7.0,"Rain, Partially cloudy","rain"
"2024-10-17",2.7,19.3,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-18",7.8,18.4,0.002,"Rain, Partially cloudy","rain"
"2024-10-19",5.8,18.3,31.059,"Snow, Rain, Partially cloudy","rain"
"2024-10-20",3.4,10.0,10.937,"Snow, Rain, Partially cloudy","snow"
"2024-10-21",4.3,14.8,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-22",10.9,20.0,0.001,"Rain, Partially cloudy","rain"
"2024-10-23",16.0,20.5,25.059,"Rain, Partially cloudy","rain"
"2024-10-24",9.8,18.8,0.006,"Rain, Partially cloudy","rain"
"2024-10-25",8.1,16.0,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-26",6.7,16.7,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-27",3.0,15.8,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-28",6.6,13.8,23.868,"Rain, Partially cloudy","rain"
"2024-10-29",4.6,14.0,0.497,"Rain, Partially cloudy","rain"
"2024-10-30",4.3,14.5,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-31",8.0,15.3,0.539,"Rain, Partially cloudy","rain"
