"date","min_temp","max_temp","total_rainfall","conditions","icon"
"2024-09-29",22.2,24.9,1.736,"Rain, Partially cloudy","rain"
"2024-09-30",21.1,25.7,0.1,"Rain, Partially cloudy","rain"
"2024-10-01",20.8,26.3,0.492,"Rain, Partially cloudy","rain"
"2024-10-02",22.3,31.3,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-03",21.8,25.0,24.917,"Rain, Overcast","rain"
"2024-10-04",22.5,29.7,13.946,"Rain, Partially cloudy","rain"
"2024-10-05",19.3,24.6,14.096,"Rain, Overcast","rain"
"2024-10-06",19.3,23.0,0.846,"Rain, Overcast","rain"
"2024-10-07",20.7,28.7,0.1,"Rain, Partially cloudy","rain"
"2024-10-08",15.7,25.4,31.763,"Rain, Overcast","rain"
"2024-10-09",15.2,18.5,91.27,"Rain, Partially cloudy","rain"
"2024-10-10",15.8,20.9,0.1,"Rain, Partially cloudy","rain"
"2024-10-11",14.6,23.1,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-12",16.7,24.7,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-13",17.2,25.2,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-14",17.4,25.2,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-15",18.3,25.8,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-16",19.6,25.6,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-17",21.6,25.1,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-18",20.7,22.7,2.107,"Rain, Overcast","rain"
"2024-10-19",21.4,29.1,1.519,"Rain, Partially cloudy","rain"
"2024-10-20",14.3,22.4,0.138,"Rain, Partially cloudy","rain"
"2024-10-21",11.6,19.9,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-22",15.0,23.9,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-23",18.9,24.6,6.868,"Rain, Partially cloudy","rain"
"2024-10-24",20.4,25.2,0.009,"Rain, Partially cloudy","rain"
"2024-10-25",18.9,21.7,0.499,"Rain, Overcast","rain"
"2024-10-26",17.6,20.4,0.0,"Partially cloudy","partly-cloudy-day"
"2024-10-27",17.1,22.8,1.931,"Rain, Partially cloudy","rain"
"2024-10-28",17.4,20.2,9.951,"Rain, Overcast","rain"
"2024-10-29",12.4,18.8,18.106,"Rain, Overcast","rain"
"2024-10-30",12.7,21.8,23.833,"Rain, Partially cloudy","rain"
"2024-10-31",13.3,19.9,0.0,"Partially cloudy","partly-cloudy-day"
"2024-11-01",12.4,21.5,0.002,"Rain, Partially cloudy","rain"
"2024-11-02",15.1,16.9,25.981,"Rain, Overcast","rain"
